No. ,Country Name ,Signed ,Ratification ,Party,
1,Afghanistan  ,1992-06-12,2002-09-19,rtf  ,2002-12-18
2,Albania  ,  ,1994-01-05,acs  ,1994-04-05
3,Algeria  ,1992-06-13,1995-08-14,rtf  ,1995-11-12
4,Andorra  ,  ,2015-02-04,acs  ,2015-05-05
5,Angola  ,1992-06-12,1998-04-01,rtf  ,1998-06-30
6,Antigua and Barbuda  ,1992-06-05,1993-03-09,rtf  ,1993-12-29
7,Argentina  ,1992-06-12,1994-11-22,rtf  ,1995-02-20
8,Armenia  ,1992-06-13,1993-05-14,acp  ,1993-12-29
9,Australia  ,1992-06-05,1993-06-18,rtf  ,1993-12-29
10,Austria  ,1992-06-13,1994-08-18,rtf  ,1994-11-16
11,Azerbaijan  ,1992-06-12,2000-08-03,apv  ,2000-11-01
12,Bahamas  ,1992-06-12,1993-09-02,rtf  ,1993-12-29
13,Bahrain  ,1992-06-09,1996-08-30,rtf  ,1996-11-28
14,Bangladesh  ,1992-06-05,1994-05-03,rtf  ,1994-08-01
15,Barbados  ,1992-06-12,1993-12-10,rtf  ,1994-03-10
16,Belarus  ,1992-06-11,1993-09-08,rtf  ,1993-12-29
17,Belgium  ,1992-06-05,1996-11-22,rtf  ,1997-02-20
18,Belize  ,1992-06-13,1993-12-30,rtf  ,1994-03-30
19,Benin  ,1992-06-13,1994-06-30,rtf  ,1994-09-28
20,Bhutan  ,1992-06-11,1995-08-25,rtf  ,1995-11-23
21,Bolivia (Plurinational State of)  ,1992-06-13,1994-10-03,rtf  ,1995-01-01
22,Bosnia and Herzegovina  ,  ,2002-08-26,acs  ,2002-11-24
23,Botswana  ,1992-06-08,1995-10-12,rtf  ,1996-01-10
24,Brazil  ,1992-06-05,1994-02-28,rtf  ,1994-05-29
25,Brunei Darussalam  ,  ,2008-04-28,acs  ,2008-07-27
26,Bulgaria  ,1992-06-12,1996-04-17,rtf  ,1996-07-16
27,Burkina Faso  ,1992-06-12,1993-09-02,rtf  ,1993-12-29
28,Burundi  ,1992-06-11,1997-04-15,rtf  ,1997-07-14
29,Cabo Verde  ,1992-06-12,1995-03-29,rtf  ,1995-06-27
30,Cambodia  ,  ,1995-02-09,acs  ,1995-05-10
31,Cameroon  ,1992-06-14,1994-10-19,rtf  ,1995-01-17
32,Canada  ,1992-06-11,1992-12-04,rtf  ,1993-12-29
33,Central African Republic  ,1992-06-13,1995-03-15,rtf  ,1995-06-13
34,Chad  ,1992-06-12,1994-06-07,rtf  ,1994-09-05
35,Chile  ,1992-06-13,1994-09-09,rtf  ,1994-12-08
36,China  ,1992-06-11,1993-01-05,rtf  ,1993-12-29
37,Colombia  ,1992-06-12,1994-11-28,rtf  ,1995-02-26
38,Comoros  ,1992-06-11,1994-09-29,rtf  ,1994-12-28
39,Congo  ,1992-06-11,1996-08-01,rtf  ,1996-10-30
40,Cook Islands  ,1992-06-12,1993-04-20,rtf  ,1993-12-29
41,Costa Rica  ,1992-06-13,1994-08-26,rtf  ,1994-11-24
42,Côte d'Ivoire  ,1992-06-10,1994-11-29,rtf  ,1995-02-27
43,Croatia  ,1992-06-11,1996-10-07,rtf  ,1997-01-05
44,Cuba  ,1992-06-12,1994-03-08,rtf  ,1994-06-06
45,Cyprus  ,1992-06-12,1996-07-10,rtf  ,1996-10-08
46,Czech Republic  ,1993-06-04,1993-12-03,apv  ,1994-03-03
47,Democratic People's Republic of Korea  ,1992-06-11,1994-10-26,apv  ,1995-01-24
48,Democratic Republic of the Congo  ,1992-06-11,1994-12-03,rtf  ,1995-03-03
49,Denmark  ,1992-06-12,1993-12-21,rtf  ,1994-03-21
50,Djibouti  ,1992-06-13,1994-09-01,rtf  ,1994-11-30
51,Dominica  ,  ,1994-04-06,acs  ,1994-07-05
52,Dominican Republic  ,1992-06-13,1996-11-25,rtf  ,1997-02-23
53,Ecuador  ,1992-06-09,1993-02-23,rtf  ,1993-12-29
54,Egypt  ,1992-06-09,1994-06-02,rtf  ,1994-08-31
55,El Salvador  ,1992-06-13,1994-09-08,rtf  ,1994-12-07
56,Equatorial Guinea  ,  ,1994-12-06,acs  ,1995-03-06
57,Eritrea  ,  ,1996-03-21,acs  ,1996-06-19
58,Estonia  ,1992-06-12,1994-07-27,rtf  ,1994-10-25
59,Ethiopia  ,1992-06-10,1994-04-05,rtf  ,1994-07-04
60,European Union  ,1992-06-13,1993-12-21,apv  ,1994-03-21
61,Fiji  ,1992-10-09,1993-02-25,rtf  ,1993-12-29
62,Finland  ,1992-06-05,1994-07-27,acp  ,1994-10-25
63,France  ,1992-06-13,1994-07-01,rtf  ,1994-09-29
64,Gabon  ,1992-06-12,1997-03-14,rtf  ,1997-06-12
65,Gambia (the)  ,1992-06-12,1994-06-10,rtf  ,1994-09-08
66,Georgia  ,  ,1994-06-02,acs  ,1994-08-31
67,Germany  ,1992-06-12,1993-12-21,rtf  ,1994-03-21
68,Ghana  ,1992-06-12,1994-08-29,rtf  ,1994-11-27
69,Greece  ,1992-06-12,1994-08-04,rtf  ,1994-11-02
70,Grenada  ,1992-12-03,1994-08-11,rtf  ,1994-11-09
71,Guatemala  ,1992-06-13,1995-07-10,rtf  ,1995-10-08
72,Guinea  ,1992-06-12,1993-05-07,rtf  ,1993-12-29
73,Guinea-Bissau  ,1992-06-12,1995-10-27,rtf  ,1996-01-25
74,Guyana  ,1992-06-13,1994-08-29,rtf  ,1994-11-27
75,Haiti  ,1992-06-13,1996-09-25,rtf  ,1996-12-24
76,Honduras  ,1992-06-13,1995-07-31,rtf  ,1995-10-29
77,Hungary  ,1992-06-13,1994-02-24,rtf  ,1994-05-25
78,Iceland  ,1992-06-10,1994-09-12,rtf  ,1994-12-11
79,India  ,1992-06-05,1994-02-18,rtf  ,1994-05-19
80,Indonesia  ,1992-06-05,1994-08-23,rtf  ,1994-11-21
81,Iran (Islamic Republic of)  ,1992-06-14,1996-08-06,rtf  ,1996-11-04
82,Iraq  ,  ,2009-07-28,acs  ,2009-10-26
83,Ireland  ,1992-06-13,1996-03-22,rtf  ,1996-06-20
84,Israel  ,1992-06-11,1995-08-07,rtf  ,1995-11-05
85,Italy  ,1992-06-05,1994-04-15,rtf  ,1994-07-14
86,Jamaica  ,1992-06-11,1995-01-06,rtf  ,1995-04-06
87,Japan  ,1992-06-13,1993-05-28,acp  ,1993-12-29
88,Jordan  ,1992-06-11,1993-11-12,rtf  ,1994-02-10
89,Kazakhstan  ,1992-06-09,1994-09-06,rtf  ,1994-12-05
90,Kenya  ,1992-06-11,1994-07-26,rtf  ,1994-10-24
91,Kiribati  ,  ,1994-08-16,acs  ,1994-11-14
92,Kuwait  ,1992-06-09,2002-08-02,rtf  ,2002-10-31
93,Kyrgyzstan  ,  ,1996-08-06,acs  ,1996-11-04
94,Lao People's Democratic Republic  ,  ,1996-09-20,acs  ,1996-12-19
